ID,Date,Element,Data_Value
GME00121246,2011-09-13,TMIN,134
GME00121246,2013-01-13,TMIN,-48
GMW00035032,2013-09-10,TMIN,109
GMW00035032,2010-04-25,TMAX,249
GMW00034068,2005-10-21,TMAX,184
GME00121246,2007-02-05,TMIN,-27
GMW00035032,2010-07-29,TMIN,138
GMW00035032,2006-07-12,TMIN,195
GMW00035032,2013-03-11,TMAX,12
GMW00034068,2013-06-24,TMAX,178
GME00121246,2013-11-07,TMAX,175
GME00121246,2012-10-28,TMAX,59
GMW00034068,2005-03-04,TMAX,27
GMW00034068,2010-06-11,TMAX,277
GMW00035032,2009-08-18,TMIN,154
GMW00035032,2010-05-01,TMAX,169
GMW00034068,2013-08-21,TMAX,257
GMW00035032,2010-07-29,TMAX,207
GME00121246,2010-05-01,TMAX,171
GMW00035032,2009-12-25,TMIN,21
GMW00034068,2010-01-19,TMAX,23
GME00121246,2005-07-22,TMIN,138
GME00121246,2013-04-07,TMIN,-33
GME00121246,2015-09-22,TMAX,153
GMW00035032,2013-08-14,TMAX,226
GMW00035032,2006-08-17,TMAX,254
GMW00035032,2007-08-19,TMAX,226
GME00121246,2009-05-19,TMAX,249
GMW00034068,2014-12-19,TMIN,64
GMW00034068,2012-06-08,TMAX,238
GMW00034068,2012-06-25,TMIN,97
GME00121246,2009-02-16,TMAX,22
GMW00034068,2006-04-24,TMAX,228
GME00121246,2006-03-19,TMAX,104
GMW00035032,2011-03-04,TMAX,97
GMW00035032,2013-03-11,TMIN,-26
GME00121246,2005-07-22,TMAX,191
GMW00035032,2013-09-10,TMAX,173
GMW00035032,2013-11-08,TMIN,107
GMW00035032,2008-08-25,TMAX,212
GME00121246,2009-03-23,TMAX,125
GME00121246,2008-06-08,TMAX,273
GME00121246,2013-04-07,TMAX,100
GMW00034068,2013-08-24,TMIN,129
GMW00035032,2015-05-13,TMIN,70
GME00121246,2015-01-10,TMIN,65
GME00121246,2008-12-27,TMIN,-29
GMW00035032,2010-02-08,TMIN,-44
GME00121246,2008-09-10,TMAX,226
GMW00034068,2010-10-01,TMAX,176
GMW00034068,2010-04-25,TMIN,35
GME00121246,2006-05-17,TMIN,121
GME00121246,2010-07-04,TMAX,277
GME00121246,2010-01-02,TMIN,-26
GMW00034068,2007-03-03,TMIN,49
GMW00034068,2011-11-18,TMIN,46
GME00121246,2015-05-12,TMIN,116
GMW00035032,2012-07-01,TMIN,144
GMW00035032,2007-08-08,TMAX,170
GME00121246,2011-03-24,TMAX,177
GMW00034068,2013-12-08,TMIN,38
GMW00034068,2012-10-16,TMAX,128
GMW00034068,2009-02-04,TMAX,47
GME00121246,2006-10-14,TMIN,89
GME00121246,2006-08-15,TMAX,211
GME00121246,2008-06-23,TMIN,148
GMW00034068,2010-01-19,TMIN,1
GME00121246,2011-04-12,TMAX,156
GMW00035032,2012-07-01,TMAX,225
GMW00034068,2013-09-08,TMAX,226
GMW00034068,2005-02-18,TMIN,-13
GMW00034068,2010-08-21,TMIN,144
GMW00034068,2009-10-18,TMAX,103
GMW00035032,2005-07-01,TMIN,146
GME00121246,2012-10-18,TMAX,187
GMW00034068,2012-04-08,TMAX,97
GME00121246,2010-03-29,TMIN,82
GMW00035032,2005-02-28,TMIN,-84
GME00121246,2012-10-31,TMIN,29
GMW00034068,2008-10-30,TMAX,62
GMW00034068,2011-04-19,TMAX,234
GMW00035032,2013-11-26,TMIN,-46
GMW00034068,2008-05-26,TMIN,184
GMW00034068,2012-02-12,TMAX,-26
GMW00034068,2011-01-31,TMIN,-85
GMW00034068,2012-10-21,TMIN,85
GMW00034068,2005-01-19,TMIN,16
GME00121246,2006-08-15,TMIN,130
GMW00035032,2007-08-08,TMIN,142
GMW00034068,2007-02-04,TMAX,100
GMW00034068,2011-09-24,TMIN,82
GMW00035032,2005-12-13,TMIN,-4
GMW00034068,2013-07-20,TMIN,167
GMW00035032,2014-03-25,TMAX,110
GMW00034068,2008-08-27,TMAX,274
GMW00034068,2014-08-03,TMAX,264
GMW00034068,2006-06-22,TMIN,156
GMW00035032,2009-04-15,TMAX,254
GMW00034068,2013-05-29,TMIN,76
GMW00035032,2014-07-20,TMAX,304
GMW00035032,2012-03-31,TMAX,112
GMW00034068,2010-04-25,TMAX,251
GMW00035032,2013-09-20,TMIN,111
GME00121246,2015-11-25,TMAX,56
GMW00035032,2012-09-22,TMIN,63
GMW00034068,2007-01-31,TMAX,66
GMW00034068,2006-10-29,TMAX,206
GMW00035032,2009-07-02,TMAX,306
GMW00035032,2005-02-28,TMAX,-9
GME00121246,2009-05-19,TMIN,64
GMW00034068,2014-01-19,TMAX,63
GMW00035032,2012-03-31,TMIN,17
GME00121246,2011-06-05,TMIN,156
GMW00035032,2012-09-22,TMAX,163
GMW00034068,2011-11-18,TMAX,99
GMW00034068,2006-08-10,TMIN,126
GMW00035032,2005-04-07,TMAX,141
GMW00035032,2014-10-31,TMIN,74
GMW00034068,2012-06-08,TMIN,145
GMW00034068,2013-07-20,TMAX,300
GME00121246,2005-09-26,TMAX,219
GMW00034068,2005-12-11,TMIN,-46
GMW00035032,2012-10-29,TMAX,45
GMW00034068,2011-09-10,TMAX,295
GMW00034068,2011-05-30,TMAX,316
GMW00034068,2011-01-31,TMAX,-19
GMW00035032,2010-09-11,TMIN,136
GME00121246,2006-01-02,TMIN,12
GMW00034068,2007-09-21,TMIN,60
GMW00035032,2011-02-17,TMIN,-5
GME00121246,2013-01-13,TMAX,5
GMW00034068,2010-04-10,TMIN,37
GMW00035032,2008-10-26,TMAX,134
GMW00035032,2009-07-02,TMIN,180
GME00121246,2011-11-29,TMIN,1
GME00121246,2006-02-25,TMIN,-38
GME00121246,2006-10-24,TMAX,181
GME00121246,2008-08-15,TMAX,189
GMW00035032,2006-08-17,TMIN,139
GMW00035032,2009-07-07,TMIN,132
GMW00035032,2010-05-01,TMIN,93
GMW00035032,2013-10-19,TMIN,63
GMW00035032,2007-10-02,TMAX,200
GME00121246,2014-04-13,TMIN,66
GME00121246,2009-04-29,TMIN,59
GME00121246,2009-02-16,TMIN,-10
GMW00034068,2011-09-10,TMIN,148
GMW00034068,2010-05-24,TMAX,289
GMW00035032,2013-06-05,TMAX,237
GMW00035032,2013-10-19,TMAX,189
GMW00034068,2011-11-23,TMAX,33
GME00121246,2015-09-13,TMAX,196
GMW00034068,2006-10-29,TMIN,73
GMW00034068,2006-01-05,TMAX,27
GMW00035032,2008-05-29,TMIN,197
GMW00034068,2011-09-24,TMAX,239
GMW00034068,2010-05-24,TMIN,96
GMW00034068,2014-01-28,TMIN,-7
GMW00034068,2006-05-07,TMAX,252
GMW00034068,2010-09-12,TMIN,103
GMW00035032,2015-05-01,TMAX,122
GMW00034068,2013-05-29,TMAX,121
GMW00034068,2013-09-08,TMIN,143
GMW00034068,2013-11-05,TMAX,108
GMW00034068,2006-01-05,TMIN,-31
GME00121246,2014-03-23,TMIN,24
GME00121246,2011-11-05,TMAX,160
GMW00034068,2013-11-05,TMIN,19
GME00121246,2012-10-30,TMIN,28
GMW00034068,2015-03-23,TMAX,99
GMW00035032,2011-11-02,TMAX,129
GMW00034068,2009-05-20,TMIN,106
GMW00034068,2015-04-12,TMAX,199
GMW00034068,2012-10-21,TMAX,169
GME00121246,2011-06-05,TMAX,284
GMW00035032,2014-01-21,TMAX,44
GME00121246,2011-09-05,TMAX,217
GME00121246,2006-04-18,TMIN,41
GMW00034068,2014-03-02,TMIN,12
GMW00035032,2006-05-26,TMAX,171
GMW00034068,2013-03-17,TMIN,34
GMW00035032,2006-05-26,TMIN,114
GME00121246,2009-12-12,TMIN,-6
GMW00035032,2012-01-20,TMAX,59
GME00121246,2009-12-12,TMAX,45
GMW00034068,2011-09-30,TMAX,265
GMW00035032,2005-11-21,TMAX,76
GME00121246,2011-09-13,TMAX,213
GME00121246,2006-01-02,TMAX,59
GMW00035032,2008-11-05,TMAX,135
GMW00035032,2010-10-28,TMIN,26
GMW00034068,2007-01-31,TMIN,18
GMW00035032,2010-04-25,TMIN,60
GME00121246,2008-03-06,TMIN,-40
GMW00035032,2012-06-18,TMIN,132
GMW00035032,2011-03-04,TMIN,-22
GME00121246,2013-03-02,TMIN,-24
GMW00035032,2007-08-19,TMIN,138
GMW00035032,2015-09-17,TMIN,100
GMW00035032,2005-07-01,TMAX,224
GMW00035032,2007-12-28,TMIN,-14
GMW00034068,2014-03-02,TMAX,90
GMW00035032,2012-06-18,TMAX,284
GME00121246,2010-03-29,TMAX,161
GMW00034068,2007-02-04,TMIN,-14
GMW00034068,2005-02-18,TMAX,14
GME00121246,2009-03-23,TMIN,20
GMW00034068,2005-11-11,TMIN,24
GME00121246,2011-10-13,TMIN,39
GMW00035032,2006-11-10,TMIN,8
GME00121246,2012-02-07,TMIN,-153
GMW00035032,2015-05-21,TMAX,180
GME00121246,2010-10-01,TMAX,169
GME00121246,2008-05-23,TMIN,79
GME00121246,2011-10-23,TMAX,120
GMW00035032,2010-10-28,TMAX,132
GME00121246,2011-03-24,TMIN,20
GMW00035032,2008-05-29,TMAX,299
GMW00034068,2014-08-01,TMAX,280
GMW00035032,2013-11-08,TMAX,150
GMW00035032,2014-07-20,TMIN,191
GMW00035032,2012-02-17,TMIN,29
GME00121246,2011-11-29,TMAX,41
GMW00034068,2006-11-14,TMAX,142
GMW00034068,2012-10-16,TMIN,30
GME00121246,2014-09-28,TMIN,80
GMW00034068,2009-02-15,TMIN,-92
GMW00034068,2008-05-26,TMAX,261
GMW00034068,2011-08-10,TMAX,208
GME00121246,2014-09-28,TMAX,222
GME00121246,2011-09-10,TMAX,289
GMW00035032,2015-06-20,TMAX,176
GMW00034068,2012-02-12,TMIN,-155
GME00121246,2014-06-27,TMAX,269
GME00121246,2013-05-06,TMIN,73
GME00121246,2013-06-24,TMAX,194
GME00121246,2011-12-05,TMIN,18
GMW00035032,2011-02-17,TMAX,38
GMW00034068,2014-08-03,TMIN,171
GMW00034068,2014-12-19,TMAX,123
GMW00035032,2006-11-10,TMAX,107
GMW00035032,2008-08-25,TMIN,145
GMW00034068,2012-04-08,TMIN,-12
GME00121246,2013-05-06,TMAX,239
GMW00034068,2006-06-22,TMAX,236
GMW00035032,2006-07-03,TMAX,299
GME00121246,2013-11-07,TMIN,135
GMW00035032,2012-01-20,TMIN,25
GME00121246,2006-04-18,TMAX,164
GME00121246,2008-12-27,TMAX,1
GMW00035032,2014-08-03,TMAX,254
GME00121246,2011-02-12,TMIN,36
GME00121246,2013-05-17,TMAX,151
GMW00035032,2009-07-07,TMAX,212
GME00121246,2013-05-17,TMIN,104
GMW00035032,2010-02-08,TMAX,-21
GMW00035032,2012-10-29,TMIN,-50
GME00121246,2008-09-07,TMIN,136
GME00121246,2011-10-13,TMAX,143
GME00121246,2010-07-04,TMIN,184
GME00121246,2007-10-02,TMIN,134
GMW00035032,2005-12-13,TMAX,58
GME00121246,2008-05-23,TMAX,205
GMW00034068,2005-04-15,TMIN,42
GMW00034068,2006-08-10,TMAX,215
GMW00034068,2013-12-08,TMAX,81
GMW00034068,2007-03-03,TMAX,137
GMW00035032,2011-02-26,TMAX,82
GMW00035032,2011-02-26,TMIN,-21
GMW00035032,2010-01-21,TMAX,30
GMW00035032,2014-08-03,TMIN,185
GMW00034068,2008-10-30,TMIN,34
GMW00034068,2006-05-07,TMIN,107
GMW00035032,2006-03-31,TMAX,161
GMW00035032,2006-04-15,TMIN,70
GME00121246,2015-09-22,TMIN,92
GMW00034068,2005-01-12,TMIN,36
GMW00034068,2007-09-23,TMAX,254
GME00121246,2011-01-04,TMAX,-12
GME00121246,2006-02-25,TMAX,40
GMW00035032,2009-03-15,TMIN,76
GMW00034068,2008-12-29,TMIN,-70
GMW00034068,2009-12-14,TMIN,-34
GMW00034068,2009-05-01,TMAX,222
GMW00034068,2013-03-02,TMIN,-27
GMW00034068,2008-12-29,TMAX,16
GMW00035032,2014-05-03,TMAX,129
GMW00035032,2007-09-25,TMAX,166
GMW00035032,2011-11-18,TMAX,86
GME00121246,2012-03-10,TMAX,118
GME00121246,2008-03-04,TMAX,58
GMW00035032,2009-10-31,TMAX,101
GMW00034068,2009-05-01,TMIN,48
GME00121246,2013-02-19,TMAX,15
GMW00034068,2011-05-27,TMIN,79
GME00121246,2009-09-14,TMIN,92
GMW00034068,2013-03-30,TMIN,-15
GME00121246,2013-11-16,TMIN,25
GMW00035032,2014-12-17,TMAX,73
GME00121246,2011-02-03,TMAX,23
GMW00035032,2006-01-26,TMIN,-52
GME00121246,2015-09-13,TMIN,144
GMW00034068,2015-07-26,TMIN,89
GMW00034068,2013-03-30,TMAX,83
GMW00035032,2014-12-17,TMIN,-6
GME00121246,2007-05-17,TMAX,140
GME00121246,2015-11-10,TMAX,149
GMW00034068,2015-03-27,TMAX,129
GME00121246,2013-07-22,TMIN,156
GME00121246,2011-01-05,TMAX,-22
GMW00034068,2009-04-29,TMAX,152
GMW00034068,2011-05-27,TMAX,203
GME00121246,2006-11-08,TMAX,137
GMW00034068,2013-03-02,TMAX,66
GMW00035032,2011-10-12,TMAX,180
GME00121246,2013-11-16,TMAX,52
GMW00034068,2013-12-25,TMAX,128
GME00121246,2012-07-25,TMIN,156
GMW00034068,2007-09-17,TMIN,134
GME00121246,2013-02-19,TMIN,-28
GMW00034068,2015-03-23,TMIN,-6
GMW00034068,2012-12-09,TMAX,25
GMW00034068,2012-12-09,TMIN,-78
GMW00035032,2009-06-15,TMAX,213
GMW00035032,2009-11-22,TMIN,73
GME00121246,2009-01-26,TMAX,50
GMW00034068,2015-04-12,TMIN,69
GME00121246,2009-06-26,TMIN,136
GME00121246,2015-03-06,TMIN,-7
GMW00035032,2007-02-05,TMIN,-30
GME00121246,2010-09-15,TMIN,127
GMW00035032,2005-07-27,TMAX,320
GME00121246,2009-08-30,TMIN,71
GMW00034068,2006-06-04,TMIN,79
GMW00034068,2006-01-16,TMIN,-96
GMW00034068,2013-02-12,TMAX,5
GMW00034068,2006-06-04,TMAX,169
GMW00034068,2012-05-15,TMIN,43
GMW00035032,2009-11-22,TMAX,141
GMW00035032,2005-11-10,TMAX,122
GMW00035032,2011-10-18,TMAX,198
GMW00034068,2007-09-17,TMAX,244
GME00121246,2011-05-30,TMAX,308
GMW00034068,2013-11-20,TMIN,29
GMW00034068,2009-02-06,TMAX,61
GME00121246,2010-11-12,TMIN,86
GMW00034068,2014-12-13,TMAX,120
GMW00035032,2009-06-15,TMIN,126
GMW00034068,2006-03-08,TMIN,-37
GMW00035032,2007-10-17,TMIN,70
GME00121246,2009-06-26,TMAX,267
GME00121246,2013-07-22,TMAX,344
GMW00035032,2011-10-18,TMIN,53
GMW00034068,2005-01-02,TMAX,88
GMW00035032,2009-10-31,TMIN,16
GMW00035032,2006-04-07,TMAX,140
GMW00034068,2008-01-12,TMAX,82
GMW00034068,2013-11-20,TMAX,65
GMW00034068,2015-07-25,TMIN,140
GMW00035032,2011-11-18,TMIN,43
GMW00034068,2008-09-25,TMIN,91
GMW00035032,2006-05-22,TMIN,109
GMW00035032,2006-05-22,TMAX,171
GME00121246,2012-07-25,TMAX,329
GMW00034068,2006-03-16,TMIN,1
GMW00034068,2010-09-06,TMIN,88
GMW00034068,2012-05-29,TMIN,119
GMW00035032,2005-12-18,TMIN,-20
GMW00035032,2011-11-27,TMAX,87
GME00121246,2010-09-14,TMAX,189
GMW00034068,2012-09-21,TMAX,208
GME00121246,2010-04-13,TMIN,52
GME00121246,2009-11-16,TMIN,57
GMW00035032,2005-12-18,TMAX,35
GME00121246,2009-04-05,TMAX,191
GME00121246,2008-01-22,TMAX,94
GMW00034068,2006-08-20,TMIN,144
GMW00035032,2011-11-27,TMIN,38
GME00121246,2011-02-03,TMIN,-4
GMW00034068,2015-07-26,TMAX,238
GMW00034068,2013-12-25,TMIN,52
GMW00035032,2005-11-21,TMIN,-8
GME00121246,2015-01-23,TMAX,24
GMW00035032,2005-12-02,TMAX,19
GMW00034068,2015-12-02,TMAX,118
GMW00034068,2015-12-02,TMIN,72
GME00121246,2015-12-23,TMIN,48
GMW00035032,2013-05-29,TMIN,78
GMW00034068,2013-12-18,TMIN,-24
GMW00035032,2008-10-03,TMAX,130
GMW00035032,2011-02-21,TMIN,-34
GMW00034068,2015-03-27,TMIN,39
GMW00035032,2012-01-03,TMAX,108
GMW00034068,2015-09-26,TMAX,195
GMW00035032,2011-02-21,TMAX,-6
GMW00034068,2006-03-16,TMAX,41
GME00121246,2010-10-23,TMAX,100
GMW00034068,2006-09-14,TMIN,126
GME00121246,2014-03-05,TMAX,117
GME00121246,2012-09-10,TMAX,301
GMW00035032,2009-08-20,TMAX,364
GMW00035032,2007-03-14,TMIN,29
GMW00035032,2009-08-20,TMIN,186
GMW00035032,2007-03-14,TMAX,149
GMW00035032,2012-01-03,TMIN,42
GMW00034068,2006-08-20,TMAX,237
GMW00035032,2013-06-27,TMAX,165
GMW00035032,2015-01-14,TMAX,88
GMW00035032,2009-12-05,TMAX,68
GME00121246,2011-01-05,TMIN,-52
GME00121246,2009-01-26,TMIN,-44
GMW00035032,2007-02-05,TMAX,53
GMW00034068,2011-08-01,TMIN,85
GMW00035032,2006-04-11,TMAX,108
GME00121246,2012-09-10,TMIN,118
GMW00034068,2011-08-01,TMAX,250
GMW00035032,2015-01-14,TMIN,9
GMW00035032,2007-09-25,TMIN,82
GMW00034068,2006-09-22,TMIN,99
GMW00035032,2013-02-14,TMIN,-47
GME00121246,2010-01-09,TMIN,-43
GMW00034068,2015-09-26,TMIN,122
GMW00035032,2006-04-11,TMIN,17
GME00121246,2011-01-04,TMIN,-39
GMW00035032,2011-10-12,TMIN,91
GME00121246,2006-10-22,TMIN,125
GMW00034068,2006-09-22,TMAX,270
GMW00035032,2009-12-05,TMIN,9
GMW00035032,2014-09-02,TMIN,116
GME00121246,2015-05-05,TMIN,116
GMW00035032,2009-10-17,TMAX,99
GMW00035032,2007-09-23,TMIN,100
GME00121246,2006-11-08,TMIN,31
GMW00034068,2008-09-25,TMAX,151
GMW00035032,2009-10-17,TMIN,62
GMW00035032,2008-10-03,TMIN,61
GME00121246,2009-04-05,TMIN,74
GMW00035032,2007-06-15,TMAX,222
GME00121246,2005-12-27,TMIN,-32
GME00121246,2008-01-19,TMIN,105
GME00121246,2010-01-09,TMAX,-14
GME00121246,2008-02-06,TMAX,110
GMW00035032,2008-10-27,TMAX,125
GMW00035032,2005-07-12,TMIN,174
GME00121246,2006-10-22,TMAX,192
GMW00035032,2007-03-21,TMAX,69
GMW00034068,2012-05-29,TMAX,278
GME00121246,2014-03-05,TMIN,-1
GME00121246,2009-11-16,TMAX,138
GMW00034068,2007-09-23,TMIN,81
GME00121246,2008-08-13,TMIN,153
GMW00035032,2010-03-24,TMIN,52
GMW00034068,2005-01-12,TMAX,89
GMW00035032,2010-10-02,TMIN,100
GME00121246,2005-09-07,TMAX,300
GMW00035032,2012-01-08,TMIN,38
GMW00034068,2005-04-24,TMIN,105
GMW00035032,2008-05-26,TMIN,175
GMW00035032,2009-04-17,TMIN,93
GMW00034068,2015-08-15,TMAX,260
GME00121246,2014-06-16,TMIN,123
GMW00035032,2012-01-08,TMAX,80
GME00121246,2007-07-05,TMAX,189
GMW00034068,2010-07-18,TMAX,265
GMW00034068,2007-01-27,TMAX,43
GMW00034068,2005-04-24,TMAX,185
GMW00035032,2008-07-10,TMAX,306
GMW00034068,2010-07-18,TMIN,130
GMW00035032,2015-04-14,TMAX,226
GME00121246,2015-05-06,TMIN,92
GMW00035032,2013-10-25,TMIN,98
GME00121246,2015-11-10,TMIN,122
GME00121246,2014-10-09,TMAX,185
GMW00034068,2009-10-01,TMIN,95
GMW00034068,2010-01-02,TMAX,17
GMW00034068,2010-06-27,TMIN,153
GMW00035032,2008-05-26,TMAX,243
GMW00035032,2009-02-21,TMAX,50
GMW00035032,2010-05-17,TMIN,57
GME00121246,2011-06-02,TMIN,121
GME00121246,2011-05-30,TMIN,104
GMW00035032,2013-01-31,TMIN,65
GMW00034068,2009-07-11,TMAX,227
GMW00034068,2009-10-01,TMAX,205
GME00121246,2014-08-17,TMAX,208
GMW00035032,2007-05-30,TMIN,43
GMW00035032,2010-11-23,TMIN,40
GMW00034068,2005-01-07,TMIN,49
GMW00035032,2014-03-24,TMIN,1
GMW00035032,2005-09-01,TMAX,310
GMW00035032,2005-09-01,TMIN,166
GME00121246,2011-06-02,TMAX,241
GME00121246,2009-09-14,TMAX,149
GMW00035032,2014-11-13,TMIN,88
GMW00035032,2012-07-19,TMIN,146
GMW00035032,2015-04-14,TMIN,15
GMW00035032,2014-11-13,TMAX,116
GMW00034068,2015-07-10,TMAX,259
GMW00035032,2006-02-08,TMAX,53
GME00121246,2011-10-20,TMAX,105
GMW00035032,2015-01-01,TMIN,9
GMW00035032,2009-06-03,TMIN,119
GMW00035032,2006-12-03,TMIN,27
GMW00035032,2015-01-01,TMAX,31
GMW00035032,2011-04-15,TMIN,19
